sample_name,initial_Pe,timestep,porosity,specific_surface_area
ket0.1ph3.1,6.81e2,95,12.8621,5358.33
ket0.1ph3.1,6.81e2,96,12.8887,5358.41
ket0.1ph3.1,6.81e2,97,12.916,5358.6
ket0.1ph3.1,6.81e2,98,12.9425,5358.87
ket0.1ph3.1,6.81e2,99,12.9681,5358.9
ket0.1ph3.1,6.81e2,100,12.9941,5358.33
ket0.1ph3.1,0.0005,95,17.279,4567.52
ket0.1ph3.1,0.0005,96,17.3142,4564.38
ket0.1ph3.1,0.0005,97,17.348,4561.36
ket0.1ph3.1,0.0005,98,17.382,4558.68
ket0.1ph3.1,0.0005,99,17.4152,4556.66
ket0.1ph3.1,0.0005,100,17.4491,4554.73
ket0.1ph3.1,0.5,145,18.6567,4455.11
ket0.1ph3.1,0.5,146,18.6771,4453.05
ket0.1ph3.1,0.5,147,18.6959,4452.54
ket0.1ph3.1,0.5,148,18.7151,4450.88
ket0.1ph3.1,0.5,149,18.7337,4449.13
ket0.1ph3.1,0.5,150,18.7518,4447.28
ket0.1ph3.1,50,95,22.1677,4451.77
ket0.1ph3.1,50,96,22.2515,4446.86
ket0.1ph3.1,50,97,22.3339,4440.05
ket0.1ph3.1,50,98,22.4149,4434.1
ket0.1ph3.1,50,99,22.4971,4427.23
ket0.1ph3.1,50,100,22.5775,4422.07 
ket0.1ph3.6,5.03e2,95,20.7494,4936.06
ket0.1ph3.6,5.03e2,96,20.8162,4936.73
ket0.1ph3.6,5.03e2,97,20.8835,4936.82
ket0.1ph3.6,5.03e2,98,20.951,4936.91
ket0.1ph3.6,5.03e2,99,21.0184,4935.54
ket0.1ph3.6,5.03e2,100,21.0854,4933.42
ket0.1ph3.6,0.0005,95,16.8484,4167.04
ket0.1ph3.6,0.0005,96,16.8691,4165.3
ket0.1ph3.6,0.0005,97,16.8887,4163.18
ket0.1ph3.6,0.0005,98,16.9089,4161.61
ket0.1ph3.6,0.0005,99,16.9284,4159.94
ket0.1ph3.6,0.0005,100,16.9478,4158.47
ket0.1ph3.6,0.5,95,16.8583,4166.12
ket0.1ph3.6,0.5,96,16.8786,4164.47
ket0.1ph3.6,0.5,97,16.9,4163.19
ket0.1ph3.6,0.5,98,16.9206,4161.5
ket0.1ph3.6,0.5,99,16.9412,4159.89
ket0.1ph3.6,0.5,100,16.9621,4158.08
ket0.1ph3.6,50,95,19.6547,4355.17
ket0.1ph3.6,50,96,19.7022,4352.41
ket0.1ph3.6,50,97,19.7496,4349.75
ket0.1ph3.6,50,98,19.7974,4345.4
ket0.1ph3.6,50,99,19.8686,4341.32
ket0.1ph3.6,50,100,19.8905,4338.23
estaillades,100,95,16.3821,12436.7
estaillades,100,96,16.417,12433.5
estaillades,100,97,16.4512,12429.8
estaillades,100,98,16.4855,12428.7
estaillades,100,99,16.5192,12425.1
estaillades,100,100,16.5528,12423.1
estaillades,10,95,21.3233,12997.8
estaillades,10,96,21.3983,12995.2
estaillades,10,97,21.4736,12992.3
estaillades,10,98,21.5485,12988.4
estaillades,10,99,21.6231,12984
estaillades,10,100,21.6971,12979.1
estaillades,0.1,58,16.7208,13362.8
estaillades,0.1,59,16.7737,13361.5
estaillades,0.1,60,16.8269,13359.9
estaillades,0.1,61,16.8801,13358.5
estaillades,0.1,62,16.9332,13356.3
estaillades,0.1,63,16.9867,13354.9
